Make\Model,Make,Model,YTD,position
Land Rover Range Rover,Land,Rover,19030,50
Land Rover Range Rover Sport,Land,Rover,24282,50
Lexus UX,Lexus,UX,453,50
Lexus LC,Lexus,LC,1979,50
Lexus RC,Lexus,RC,3358,50
Lexus LX,Lexus,LX,4753,50
Lexus GS,Lexus,GS,6604,50
Lexus LS,Lexus,LS,9301,50
Lexus IS,Lexus,IS,22927,50
Lexus GX,Lexus,GX,26724,50
Lexus ES,Lexus,ES,48482,50
Lexus NX,Lexus,NX,62079,50
Lexus RX,Lexus,RX,111636,50
Lincoln MKT,Lincoln,MKT,2324,50
Lincoln Continental,Lincoln,Continental,8758,50
Lincoln Navigator,Lincoln,Navigator,17839,50
Lincoln MKZ,Lincoln,MKZ,19852,50
Lincoln MKC,Lincoln,MKC,26241,50
Lincoln MKX/Nautilus,Lincoln,MKX,28573,50
Mazda MX-5 Miata,Mazda,MX-5 Miata,8971,50
Mazda CX-3,Mazda,CX-3,16899,50
Mazda CX-9,Mazda,CX-9,28257,50
Mazda 6,Mazda,Mazda 6,30938,50
Mazda 3,Mazda,Mazda 3,64638,50
Mazda CX-5,Mazda,CX-5,150622,50
Mercedes-Benz B-Class,Mercedes-Benz,B-Class,135,50
Mercedes-Benz AMG GT,Mercedes-Benz,AMG,1525,50
Mercedes-Benz SLC-Class,Mercedes-Benz,SLC-Class,1993,50
Mercedes-Benz SL-Class,Mercedes-Benz,SL-Class,2126,50
Mercedes-Benz G-Class,Mercedes-Benz,G-Class,3593,50
Mercedes-Benz S-Class,Mercedes-Benz,S-Class,14978,50
Mercedes-Benz GLS-Class,Mercedes-Benz,GLS-Class,21973,50
Mercedes-Benz GLA-Class,Mercedes-Benz,GLA-Class,24136,50
Mercedes-Benz CLA-Class,Mercedes-Benz,CLA-Class,26269,50
Mercedes-Benz GLE-Class,Mercedes-Benz,GLE-Class,46010,50
Mercedes-Benz E / CLS-Class,Mercedes-Benz,E-Class,46424,50
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,54829,50
Mercedes-Benz GLC-Class,Mercedes-Benz,GLC-Class,69729,50
Mini Countryman,Mini,Countryman,17565,50
Mini Cooper,Mini,Cooper,26119,50
Mitsubishi Outlander PHEV,Mitsubishi,Outlander,3866,50
Mitsubishi Eclipse Cross,Mitsubishi,Eclipse,9485,50
Mitsubishi Mirage,Mitsubishi,Mirage,24316,50
Mitsubishi Outlander Sport,Mitsubishi,Outlander,36867,50
Mitsubishi Outlander,Mitsubishi,Outlander,37952,50
Nissan GT-R,Nissan,GT-R,538,50
Nissan Juke,Nissan,Juke,731,50
Nissan 370Z,Nissan,370Z,3468,50
Nissan Leaf,Nissan,Leaf,14715,50
Nissan Kicks,Nissan,Kicks,23312,50
Nissan Armada,Nissan,Armada,32650,50
Nissan Maxima,Nissan,Maxima,42337,50
Nissan Pathfinder,Nissan,Pathfinder,67550,50
Nissan Versa,Nissan,Versa,75809,50
Nissan Murano,Nissan,Murano,83547,50
Nissan Altima,Nissan,Altima,209146,50
Nissan Sentra,Nissan,Sentra,213046,50
Nissan Rogue,Nissan,Rogue,412110,50
Porsche 718,Porsche,718,5276,50
Porsche Panamera,Porsche,Panamera,8114,50
Porsche 911,Porsche,911,9783,50
Porsche Cayenne,Porsche,Cayenne,11106,50
Porsche Macan,Porsche,Macan,22954,50
Smart ForTwo,Smart,ForTwo,1276,50
Subaru BRZ,Subaru,BRZ,3834,50
Subaru Impreza WRX,Subaru,Impreza,28730,50
Subaru Ascent,Subaru,Ascent,36211,50
Subaru Legacy,Subaru,Legacy,40109,50
Subaru Impreza,Subaru,Impreza,76400,50
Subaru CrossTrek,Subaru,CrossTrek,144384,50
Subaru Forester,Subaru,Forester,171613,50
Subaru Outback,Subaru,Outback,178854,50
Tesla Model X,Tesla,Model X,27250,50
Tesla Model S,Tesla,Model S,29950,50
Tesla Model 3,Tesla,Model 3,140317,50
Toyota Venza,Toyota,Venza,9,50
Toyota Mirai,Toyota,Mirai,1689,50
Toyota Land Cruiser,Toyota,Land,3235,50
Toyota 86 / FR-S,Toyota,86,4133,50
Toyota Sequoia,Toyota,Sequoia,11121,50
Toyota Yaris,Toyota,Yaris,27209,50
Toyota Avalon,Toyota,Avalon,33580,50
Toyota C-HR,Toyota,C-HR,49642,50
Toyota Prius Family,Toyota,Prius,87590,50
Toyota 4Runner,Toyota,4Runner,139694,50
Toyota Highlander,Toyota,Highlander,244511,50
Toyota Corolla,Toyota,Corolla,303732,50
Toyota Camry,Toyota,Camry,343439,50
Toyota RAV4,Toyota,RAV4,427168,50
Volkswagen CC,Volkswagen,CC,455,50
Volkswagen Touareg,Volkswagen,Touareg,2022,50
Volkswagen Beetle,Volkswagen,Beetle,14411,50
Volkswagen Passat,Volkswagen,Passat,41401,50
Volkswagen Golf,Volkswagen,Golf,42271,50
Volkswagen Atlas,Volkswagen,Atlas,59677,50
Volkswagen Jetta,Volkswagen,Jetta,90794,50
Volkswagen Tiguan,Volkswagen,Tiguan,103022,50
Volvo 90-Series,Volvo,S90,9892,50
Volvo 60-Series,Volvo,S60,12176,50
Volvo XC40,Volvo,XC40,12420,50
Volvo XC90,Volvo,XC90,31609,50
Volvo XC60,Volvo,XC60,32689,50
